ZCTA5CE20,rat_sightings,population,poverty_rate,borough,pop_white,pop_black,rats_per_1000,white_prop,black_prop,white_pct,black_pct,poverty_pct
11217,1544,43490,0.0959577143389372,Brooklyn,28151,9703,35.502414348126,0.6472982294780409,0.22310876063462864,64.7298229478041,22.310876063462864,9.59577143389372
11218,1658,72042,0.1406041165463779,Brooklyn,43119,8572,23.014352738680216,0.5985258599150496,0.11898614696982315,59.85258599150496,11.898614696982316,14.06041165463779
11219,881,94196,0.3300081433224756,Brooklyn,59988,1859,9.35283876173086,0.6368423287613062,0.01973544524183617,63.68423287613062,1.973544524183617,33.00081433224756
11220,1695,90652,0.229003743990784,Brooklyn,23583,4239,18.697877597846713,0.26014870052508493,0.04676124078895116,26.014870052508492,4.676124078895116,22.900374399078398
11221,3467,91588,0.2301544668208777,Brooklyn,31610,43276,37.85430405730008,0.3451325501157357,0.4725073153688256,34.51325501157357,47.25073153688256,23.01544668208777
11222,3376,42853,0.0951288056206089,Brooklyn,35515,3387,78.78094882505309,0.8287634471332229,0.0790376403052295,82.8763447133223,7.90376403052295,9.51288056206089
11223,571,78093,0.2129877483784618,Brooklyn,41987,5606,7.3117949111956255,0.5376538230059033,0.07178620362900644,53.765382300590325,7.178620362900643,21.298774837846178
11224,397,50822,0.2547680905484059,Brooklyn,26121,14368,7.811577663216717,0.5139703278107906,0.2827122112470977,51.397032781079055,28.271221124709772,25.476809054840587
11225,1823,58158,0.1578123387124522,Brooklyn,20803,33795,31.345644623267653,0.35769799511675093,0.581089445991953,35.769799511675096,58.1089445991953,15.78123387124522
11226,3153,95144,0.1590089184642891,Brooklyn,20434,63623,33.13924157067182,0.2147691919616581,0.6687021777516186,21.47691919616581,66.87021777516186,15.90089184642891
11228,462,42241,0.1385087698422142,Brooklyn,22889,1015,10.937241069103479,0.5418669065599773,0.02402878719727279,54.18669065599773,2.402878719727279,13.850876984221419
11229,469,78377,0.1690268886043534,Brooklyn,51299,6560,5.983898337522487,0.6545159932122945,0.08369802365489876,65.45159932122945,8.369802365489875,16.90268886043534
11230,1230,86978,0.2018946053483853,Brooklyn,54186,9105,14.141507047759204,0.6229851226746993,0.1046816436340224,62.29851226746993,10.46816436340224,20.18946053483853
11231,2510,38276,0.1310093952003349,Brooklyn,28166,5539,65.57634026544049,0.7358658166997596,0.14471209112759953,73.58658166997596,14.471209112759952,13.100939520033489
11232,701,27816,0.191774473836648,Brooklyn,11822,3060,25.201322979580098,0.4250071901064136,0.1100086281276963,42.500719010641355,11.000862812769629,19.1774473836648
11233,2429,81822,0.2361860293665909,Brooklyn,14343,60066,29.68639241279851,0.17529515289286499,0.7341057417320525,17.529515289286497,73.41057417320525,23.618602936659087
11234,634,83187,0.0954068716094032,Brooklyn,33264,38774,7.62138314880931,0.39987017202207076,0.4661064829841201,39.98701720220708,46.61064829841201,9.540687160940319
11235,1314,78558,0.1805578883448106,Brooklyn,60597,3192,16.726495073703507,0.7713663789811349,0.040632398991827696,77.13663789811349,4.063239899182769,18.05578883448106
11236,552,88051,0.1322958092917404,Brooklyn,6306,77446,6.269094047767771,0.07161758526308616,0.879558437723592,7.161758526308616,87.9558437723592,13.22958092917404
11237,5288,45334,0.1999779346866725,Brooklyn,20935,7279,116.6453434508316,0.4617946794900075,0.1605638152380112,46.17946794900075,16.056381523801118,19.99779346866725
11238,3528,58345,0.1215431415929203,Brooklyn,35380,18574,60.46790641871626,0.6063930071128631,0.31834775901962464,60.63930071128632,31.834775901962466,12.15431415929203
11239,160,16410,0.2524325655868949,Brooklyn,3744,10794,9.75015234613041,0.22815356489945154,0.6577696526508227,22.815356489945156,65.77696526508227,25.24325655868949
11249,1648,47728,0.1725733515616784,Brooklyn,35302,6415,34.528997653369096,0.7396496815286624,0.13440747569560846,73.96496815286623,13.440747569560846,17.25733515616784
11354,401,53028,0.2025715341671691,Queens,11456,2644,7.562042694425586,0.21603681074149506,0.04986045108244701,21.603681074149506,4.986045108244701,20.25715341671691
11355,507,80801,0.2187507779631058,Queens,9902,2510,6.27467481838096,0.12254798826747194,0.031063971980544794,12.254798826747194,3.1063971980544793,21.87507779631058
11356,114,25824,0.1114729944554301,Queens,7470,583,4.414498141263941,0.2892657992565056,0.022575898389095416,28.926579925650557,2.2575898389095417,11.14729944554301
11357,333,43346,0.0795835662381218,Queens,27288,401,7.682369768836801,0.6295390578138698,0.009251141973884557,62.95390578138698,0.9251141973884557,7.958356623812179
11358,286,37665,0.1197510836901311,Queens,13877,553,7.593256338776052,0.3684322315146688,0.014682065578122926,36.84322315146688,1.4682065578122925,11.97510836901311
11360,55,19469,0.0997006915058313,Queens,12019,452,2.8250038522779803,0.6173403872823463,0.023216395295084492,61.73403872823463,2.3216395295084493,9.97006915058313
11361,223,30127,0.1231989693867172,Queens,13896,1451,7.401998207587878,0.4612473860656554,0.048162777574932786,46.12473860656554,4.816277757493278,12.31989693867172
11362,40,18492,0.0515665796344647,Queens,8192,961,2.163097555699762,0.4430023794073113,0.05196841877568678,44.30023794073113,5.196841877568678,5.156657963446469
11363,24,7223,0.0802990447182611,Queens,4683,240,3.322719091790115,0.6483455627855462,0.03322719091790115,64.83455627855463,3.322719091790115,8.02990447182611
11364,83,35276,0.0768314810614651,Queens,13571,1214,2.3528744755641227,0.384709150697358,0.034414332690781264,38.4709150697358,3.4414332690781264,7.68314810614651
11365,103,42322,0.1037334593572778,Queens,14881,5245,2.4337224138745808,0.3516138178725013,0.1239308161240017,35.16138178725013,12.39308161240017,10.37334593572778
11366,60,13463,0.0795189778278842,Queens,5599,713,4.456658991309515,0.4158805615390329,0.05295996434672807,41.58805615390329,5.295996434672807,7.95189778278842
11367,489,40923,0.1336442707676793,Queens,22344,3665,11.949270581335679,0.5460010263177186,0.08955843901962222,54.60010263177186,8.955843901962222,13.36442707676793
11368,931,105716,0.1934510655469936,Queens,23434,14762,8.806613946800862,0.2216693783344054,0.13963827613606267,22.16693783344054,13.963827613606266,19.34510655469936
11369,419,35133,0.1561727497455285,Queens,7841,7419,11.926109355876243,0.22318048558335468,0.2111689864230211,22.31804855833547,21.11689864230211,15.61727497455285
11370,468,30267,0.1072953474676089,Queens,13340,2663,15.462384775498068,0.4407440446691116,0.08798361251528067,44.07440446691116,8.798361251528068,10.729534746760889
11372,680,64756,0.1456125378229498,Queens,30326,3825,10.500957440237197,0.46831181666563715,0.05906788560133424,46.831181666563715,5.906788560133424,14.56125378229498
